進口小客車車型耗能證明104年12月核發資料,,,,,,,,,,,,
,,,,,,,,,,,,油耗單位：公里/公升
廠    牌,車        型,排檔,門,排氣量,參考車,耗能,市區,高速,油耗,申請,耗能證明,能源效率
,,型式,數,(c.c.),重(kg),標準,油耗,油耗,測試值,單位,核發日期,等    級
LOTUS,EVORA 400,M6,2D,3456.0 ,1495.0 ,8.0 ,7.11 ,13.24 ,10.0 ,嘉鎷興業,104/12/28,2級
SSANGYONG(註一),TIVOLI D16DTF AWD,A6,5D,1597.0 ,1580.0 ,11.3 ,11.55 ,18.00 ,14.9 ,永嘉雙龍,104/12/31,2級
BMW,730I SEDAN (德國),A8,4D,1998.0 ,1887.0 ,9.9 ,9.30 ,16.07 ,12.7 ,汎德公司,104/12/31,2級
MERCEDES-BENZ,C180,A7,2D,1595.0 ,1598.0 ,11.3 ,12.50 ,18.33 ,15.6 ,台灣賓士,104/12/31,1級
,,,,,,,,,,,,
,,,,,,,,,,,,
註  ：未備註之車型係使用汽油，其油耗結果係依據歐盟1999/100/EC指令及其後續修正指令之測試方法執行。,,,,,,,,,,,,
註ㄧ：此車型係使用柴油，其油耗結果依據歐盟1999/100/EC指令及其後續修正指令之測試方法執行。,,,,,,,,,,,,
註二：能源效率等級分級基準，係依經濟部99年5月14日經授能字第09920082890號公告之附表11~附表12辦理。每個排氣量等級各分為5個,,,,,,,,,,,,
      能源效率等級，能源效率等級數字愈小者愈佳；但不同排氣量等級車輛之油耗表現比較，應以「油耗測試值」為準。,,,,,,,,,,,,
